"#","Establishment Name","Training Course","Min. Qualification for Course","Training Duration (Months)","Prescribed Min. Stipend (Monthly)","No. of Vacancies","Training Location (District)"
"1","RAJDEEP ENTERPRISE","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","599","Ahambdawad (AHMADABAD)"
"2","SRS LOGICARE PRIVATE LIMITED","Packer","12th","12 months","₹ 8000","500","Jhajjar (GURUGRAM)"
"3","BALAJI SECURITY SERVICES PRIVATE LIMITED","Security Guard","12th","12 months","₹ 8000","473","INDORE (INDORE)"
"4","PRATIBHA SYNTEX LIMITED","Cutting and Sewing Machine Operator","12th","12 months","₹ 8000","350","DHAR (DHAR)"
"5","SRS LOGICARE PRIVATE LIMITED","Warehouse Picker-3.0","12th","06 months","₹ 8000","346","Jhajjar (GURUGRAM)"
"6","WE WIN LIMITED","Customer Care Executive-Domestic- Voice_V3","12th","12 months","₹ 8000","320","Bhopal (BHOPAL)"
"7","PRAKASH ASPHALTINGS & TOLL HIGHWAYS (INDIA) LIMITED","Commercial Vehicle Driver","12th","12 months","₹ 8000","300","INDORE (INDORE)"
"8","BVG INDIA LIMITED","Housekeeping Trainee v 2.0","12th","12 months","₹ 8000","300","Bhopal (BHOPAL)"
"9","VE COMMERCIAL VEHICLES LIMITED","Fitter","12th","12 months","₹ 8000","250","PITHAMPUR (DHAR)"
"10","VE COMMERCIAL VEHICLES LIMITED","Fitter","12th","12 months","₹ 8000","250","PITHAMPUR (DHAR)"
"11","TRIDENT LIMITED","Sewing Machine Operator","12th","12 months","₹ 8000","250","BUDHNI (SEHORE)"
"12","CAPITAL PROTECTION FORCE PRIVATE LIMITED","Security Guard","12th","12 months","₹ 8000","249","Betul (BETUL)"
"13","THIRDEYE SECURITY SERVICES PRIVATE LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","230","INDORE (INDORE)"
"14","VE COMMERCIAL VEHICLES LIMITED","Automotive Accessory Fitter","12th","12 months","₹ 8000","223","PITHAMPUR (DHAR)"
"15","VARDHMAN TEXTILES LIMITED","Ring frame doffer and tenter | V 2.0","12th","06 months","₹ 8000","201","Budni (SEHORE)"
"16","Shri Aurobindo Institute Of Medical Sciences","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","200","INDORE (INDORE)"
"17","PRATIBHA SYNTEX LIMITED","Doffer-cum-Piecer","12th","06 months","₹ 8000","200","DHAR (DHAR)"
"18","WORLD CLASS SERVICES LIMITED","House Keeper (Corporate)","12th","09 months","₹ 8000","200","Indore (INDORE)"
"19","BVG INDIA LIMITED","Office Assistant","12th","12 months","₹ 8000","200","Bhopal (BHOPAL)"
"20","JYOTHY LABS LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","200","PITHAMPUR (INDORE)"
"21","TRIDENT LIMITED","Ring Frame Operator","12th","12 months","₹ 8000","200","BUDHNI (SEHORE)"
"22","BVG INDIA LIMITED","Security Guard","12th","12 months","₹ 8000","200","Bhopal (BHOPAL)"
"23","VARDHMAN TEXTILES LIMITED","Shuttleless Loom Operator - Airjet Loom","12th","12 months","₹ 8000","200","Budni (SEHORE)"
"24","J B MANGHARAM FOODS PRIVATE LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","193","GWALIOR (GWALIOR)"
"25","SHIVASHAKTI AGRITEC LIMITED","Retail Sales Associate Version 2.0","12th","06 months","₹ 8000","193","BHOPAL (BHOPAL)"
"26","PRATIBHA SYNTEX LIMITED","Finisher and Packer AMH_Q2255 V 2.0","12th","12 months","₹ 8000","188","DHAR (DHAR)"
"27","HUMAN MATRIX SECURITE","EXECUTIVE (HR)","Graduate(Non-Engineering)","12 months","₹ 10000","168","Indore (INDORE)"
"28","MYSORE DEEP PERFUMERY HOUSE","Packhouse Worker","12th","12 months","₹ 8000","150","Indore (INDORE)"
"29","JK TYRE & INDUSTRIES LIMITED","Manufacturing Engineering","Diploma (Engineering)","12 months","₹ 9000","150","MORENA (MORENA)"
"30","TRIDENT LIMITED","Draw Frame Operator | V 3.0","12th","12 months","₹ 8000","150","BUDHNI (SEHORE)"
"31","R B ASSOCIATES","Agriculture Field Officer","12th","12 months","₹ 8000","150","BHOPAL (BHOPAL)"
"32","MARAL OVERSEAS LIMITED","Ring Frame Operator","12th","12 months","₹ 8000","150","KHALBUJURG (KHARGONE)"
"33","TRIDENT LIMITED","Cone Winding Operator - Manual & Assembly Winding | V 3.0","12th","12 months","₹ 8000","150","BUDHNI (SEHORE)"
"34","TRIDENT LIMITED","Finisher and Packer AMH_Q2255 V 2.0","12th","12 months","₹ 8000","150","BUDHNI (SEHORE)"
"35","KAILASH","Mechanic Auto Electrical and Electronics","12th","12 months","₹ 8000","122","Bhayala Bavla Rajkot Road Ahmedabad (AHMADABAD)"
"36","DHOOT TRANSMISSION PRIVATE LTD","Mechanic Auto Electrical and Electronics","12th","12 months","₹ 8000","100","Pithampur (DHAR)"
"37","WORLD CLASS SERVICES LIMITED","House Keeper (Hospital)","12th","12 months","₹ 8000","100","Indore (INDORE)"
"38","BALAJI SECURITY SERVICES PRIVATE LIMITED","House Keeper (Corporate)","12th","09 months","₹ 8000","100","INDORE (INDORE)"
"39","PRATAAP SNACKS LIMITED","Packing Machine Worker- Food processing","12th","12 months","₹ 8000","100","INDORE (INDORE)"
"40","ACE INFOTEXIS PRIVATE LIMITED","Office Operations Executive(Back Office)","12th","12 months","₹ 8000","100","Bhopal (BHOPAL)"
"41","VE COMMERCIAL VEHICLES LIMITED","Automotive Assembly Operator","12th","12 months","₹ 8000","100","PITHAMPUR (DHAR)"
"42","VE COMMERCIAL VEHICLES LTD BUS BODY MFG UNIT","Automotive Body Painting Technician","12th","12 months","₹ 8000","100","BAGGAD (DHAR)"
"43","TRIDENT LIMITED","Autoconer Tenter | V 3.0","12th","12 months","₹ 8000","100","BUDHNI (SEHORE)"
"44","VE COMMERCIAL VEHICLES LIMITED","Automotive Quality Control Assistant","12th","12 months","₹ 8000","100","PITHAMPUR (DHAR)"
"45","BAGHEL INFRASTRUCTURES PRIVATE LIMITED","Commercial Vehicle Driver","12th","12 months","₹ 8000","100","Vindhyanagar (SINGRAULI)"
"46","FLEXITUFF VENTURES INTERNATIONAL LIMITED","Loom Weaver and Twisting Operator (LWTO)","12th","12 months","₹ 8000","100","PITHAMPUR (DHAR)"
"47","TRIDENT LIMITED","Weaver","12th","06 months","₹ 8000","100","BUDHNI (SEHORE)"
"48","FLEXITUFF VENTURES INTERNATIONAL LIMITED","Weaving Technician","12th","12 months","₹ 8000","100","PITHAMPUR (DHAR)"
"49","FLEXITUFF VENTURES INTERNATIONAL LIMITED","Winder (Textile)","12th","06 months","₹ 8000","100","PITHAMPUR (DHAR)"
"50","TRIDENT LIMITED","Speed Frame Operator - Tenter and Doffer | V 3.0","12th","12 months","₹ 8000","100","BUDHNI (SEHORE)"
"51","TRANSERVE ADVISORS PRIVATE LIMITED","Stenographer (Hindi)","12th","12 months","₹ 8000","100","Bhopal (BHOPAL)"
"52","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","97","Ujjain Circle (UJJAIN)"
"53","TATA PROJECTS LIMITED","Helper Mason","12th","12 months","₹ 8000","94","UJJAIN (UJJAIN)"
"54","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","93","Khargone Circle (KHARGONE)"
"55","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","93","City Circle Indore (INDORE)"
"56","TATA PROJECTS LIMITED","Helper Mason","12th","12 months","₹ 8000","90","SAGAR BINA (SAGAR)"
"57","ACE INFOTEXIS PRIVATE LIMITED","Human Resource Training","Graduate(Non-Engineering)","06 months","₹ 10000","90","Bhopal (BHOPAL)"
"58","MARAL OVERSEAS LIMITED","Ring frame doffer and tenter | V 2.0","12th","06 months","₹ 8000","90","KHALBUJURG (KHARGONE)"
"59","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","82","O M Circle  Indore  (INDORE)"
"60","ANNOVA SOLUTIONS PRIVATE LIMITED","Associate Customer Care-Voice & Non-Voice_V3","12th","09 months","₹ 8000","82","Indore (INDORE)"
"61","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","81","Dewas Circle  (DEWAS)"
"62","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","81","Mandsaur Circle  (MANDSAUR)"
"63","INNOVISION LIMITED","General Housekeeper (Household and Small Establishment) V2.0","12th","09 months","₹ 8000","80","Bhiwadi (ALWAR)"
"64","BALAJI WAFERS PRIVATE LIMITED","Assistant Lab Technician-Food and Agricultural Commodities","12th","12 months","₹ 8000","80","INDORE (INDORE)"
"65","SAGAR MANUFACTURERS PRIVATE LIMITED","Ring Frame Operator","12th","12 months","₹ 8000","80","Goharganj (RAISEN)"
"66","INFO DOSKEY SOFTWARE PRIVATE LIMITED","Telecom Customer Care Executive - Call Center/Relationship Center V4.0","12th","12 months","₹ 8000","80","Bhopal (BHOPAL)"
"67","COMMERCIAL SYN BAGS LIMITED","Finisher and Packer AMH_Q2255 V 2.0","12th","12 months","₹ 8000","77","Pithampur  (DHAR)"
"68","TATA PROJECTS LIMITED","Helper Mason","12th","12 months","₹ 8000","75","SAGAR (SAGAR)"
"69","CPR DISTRIBUTORS PVT LTD","Retail Sales Associate Version 2.0","12th","06 months","₹ 8000","75","INDORE (INDORE)"
"70","MADHYA PREADESH PASCHIM KSHETRA VIDYUT VITRAN COMPANY LIMITED","Electrician","12th","12 months","₹ 8000","71","Khandwa Circle  (KHANDWA)"
"71","HITECH COMPETENT BUILDERS PRIVATE LIMITED","Assistant Mason","12th","12 months","₹ 8000","70","Pithampur (DHAR)"
"72","COMMUNITY ACTION THROUGH MOTIVATION PROGRAMME CAMP","Customer Care Executive-Domestic- Voice_V3","12th","12 months","₹ 8000","70","Naya Raipur (RAIPUR)"
"73","OFFSHORE INFRASTRUCTURES LIMITED","Pump Operator Cum Mechanic","12th","12 months","₹ 8000","70","Shamsabad  (VIDISHA)"
"74","VE COMMERCIAL VEHICLES LIMITED","Machinist","12th","12 months","₹ 8000","70","PITHAMPUR (DHAR)"
"75","BHASKAR INDUSTRIES PRIVATE LIMITED","Loom Weaver and Twisting Operator (LWTO)","12th","12 months","₹ 8000","70","bhopal (RAISEN)"
